🧘‍♂️ Top 515 all days (stability 6-8, sorted by avgFirePeace desc):

01. 1988-03-20T13:10 | meditate=true | fire=9.5 | peace=10 | stability=8 | growth=7.00 | avgFirePeace=9.75
47. 1988-04-23T13:10 | meditate=false | fire=6.5 | peace=8.5 | stability=8 | growth=5.85 | avgFirePeace=7.50
48. 1988-12-21T13:10 | meditate=true | fire=8 | peace=7 | stability=8 | growth=7.00 | avgFirePeace=7.50
49. 1990-04-06T13:10 | meditate=true | fire=7.5 | peace=7.5 | stability=7 | growth=8.50 | avgFirePeace=7.50
50. 1993-01-08T13:10 | meditate=false | fire=7.5 | peace=7.5 | stability=8 | growth=8.55 | avgFirePeace=7.50
51. 1993-12-13T13:10 | meditate=false | fire=5.5 | peace=9.5 | stability=8 | growth=5.20 | avgFirePeace=7.50
52. 1994-03-06T13:10 | meditate=true | fire=5 | peace=10 | stability=7 | growth=4.20 | avgFirePeace=7.50
53. 1996-02-03T13:10 | meditate=true | fire=5 | peace=10 | stability=7 | growth=5.60 | avgFirePeace=7.50
54. 1996-03-02T13:10 | meditate=true | fire=7.5 | peace=7.5 | stability=8 | growth=8.50 | avgFirePeace=7.50
55. 1996-07-24T13:10 | meditate=true | fire=5.5 | peace=9.5 | stability=7 | growth=5.25 | avgFirePeace=7.50
56. 1996-09-23T13:10 | meditate=true | fire=8 | peace=7 | stability=7 | growth=9.60 | avgFirePeace=7.50
57. 1996-10-18T13:10 | meditate=false | fire=6.5 | peace=8.5 | stability=8 | growth=7.50 | avgFirePeace=7.50
58. 1988-04-11T13:10 | meditate=true | fire=8.5 | peace=6 | stability=8 | growth=10.45 | avgFirePeace=7.25
59. 1988-12-20T13:10 | meditate=true | fire=8 | peace=6.5 | stability=8 | growth=8.00 | avgFirePeace=7.25
60. 1989-01-23T13:10 | meditate=false | fire=5.5 | peace=9 | stability=8 | growth=5.95 | avgFirePeace=7.25
61. 1989-06-22T13:10 | meditate=true | fire=7.5 | peace=7 | stability=7 | growth=9.50 | avgFirePeace=7.25
62. 1989-07-14T13:10 | meditate=true | fire=8 | peace=6.5 | stability=7 | growth=10.00 | avgFirePeace=7.25
63. 1989-07-28T13:10 | meditate=true | fire=7 | peace=7.5 | stability=7 | growth=6.00 | avgFirePeace=7.25
64. 1989-08-07T13:10 | meditate=true | fire=9.5 | peace=5 | stability=7 | growth=11.00 | avgFirePeace=7.25
65. 1990-04-21T13:10 | meditate=true | fire=7 | peace=7.5 | stability=8 | growth=8.00 | avgFirePeace=7.25
66. 1990-04-22T13:10 | meditate=true | fire=6.5 | peace=8 | stability=8 | growth=6.80 | avgFirePeace=7.25
67. 1990-06-15T13:10 | meditate=true | fire=7 | peace=7.5 | stability=8 | growth=8.00 | avgFirePeace=7.25
68. 1990-07-07T13:10 | meditate=true | fire=7.5 | peace=7 | stability=7 | growth=9.35 | avgFirePeace=7.25
69. 1990-07-08T13:10 | meditate=true | fire=7.5 | peace=7 | stability=7 | growth=9.35 | avgFirePeace=7.25
70. 1990-07-09T13:10 | meditate=true | fire=7 | peace=7.5 | stability=7 | growth=8.00 | avgFirePeace=7.25
71. 1993-08-26T13:10 | meditate=true | fire=5 | peace=9.5 | stability=7 | growth=4.80 | avgFirePeace=7.25
72. 1995-06-17T13:10 | meditate=true | fire=5.5 | peace=9 | stability=8 | growth=6.00 | avgFirePeace=7.25
73. 1996-04-16T13:10 | meditate=true | fire=7.5 | peace=7 | stability=7 | growth=9.50 | avgFirePeace=7.25
74. 1996-08-06T13:10 | meditate=true | fire=7 | peace=7.5 | stability=8 | growth=10.00 | avgFirePeace=7.25
75. 1996-08-08T13:10 | meditate=true | fire=7 | peace=7.5 | stability=7 | growth=9.90 | avgFirePeace=7.25
76. 1988-01-25T13:10 | meditate=true | fire=5 | peace=9 | stability=8 | growth=5.40 | avgFirePeace=7.00
77. 1988-03-21T13:10 | meditate=true | fire=7.5 | peace=6.5 | stability=8 | growth=8.55 | avgFirePeace=7.00
78. 1988-05-22T13:10 | meditate=true | fire=8 | peace=6 | stability=7 | growth=9.00 | avgFirePeace=7.00
79. 1988-06-17T13:10 | meditate=true | fire=6 | peace=8 | stability=8 | growth=6.30 | avgFirePeace=7.00
80. 1988-07-25T13:10 | meditate=false | fire=5.5 | peace=8.5 | stability=8 | growth=5.10 | avgFirePeace=7.00
81. 1988-10-05T13:10 | meditate=true | fire=7 | peace=7 | stability=7 | growth=7.20 | avgFirePeace=7.00
82. 1989-01-22T13:10 | meditate=true | fire=5.5 | peace=8.5 | stability=8 | growth=6.65 | avgFirePeace=7.00
83. 1989-07-10T13:10 | meditate=true | fire=7.5 | peace=6.5 | stability=7 | growth=10.45 | avgFirePeace=7.00
84. 1990-06-12T13:10 | meditate=true | fire=7.5 | peace=6.5 | stability=7 | growth=10.20 | avgFirePeace=7.00
85. 1990-09-21T13:10 | meditate=true | fire=7 | peace=7 | stability=7 | growth=9.00 | avgFirePeace=7.00
86. 1990-12-13T13:10 | meditate=false | fire=6.5 | peace=7.5 | stability=8 | growth=7.50 | avgFirePeace=7.00
87. 1991-02-25T13:10 | meditate=true | fire=5.5 | peace=8.5 | stability=7 | growth=6.80 | avgFirePeace=7.00
88. 1991-03-09T13:10 | meditate=true | fire=6 | peace=8 | stability=7 | growth=6.30 | avgFirePeace=7.00
89. 1993-04-08T13:10 | meditate=false | fire=5 | peace=9 | stability=8 | growth=5.60 | avgFirePeace=7.00
90. 1993-05-08T13:10 | meditate=false | fire=5 | peace=9 | stability=8 | growth=5.00 | avgFirePeace=7.00
91. 1995-12-07T13:10 | meditate=false | fire=5 | peace=9 | stability=8 | growth=5.40 | avgFirePeace=7.00
92. 1996-01-24T13:10 | meditate=true | fire=5.5 | peace=8.5 | stability=7 | growth=6.75 | avgFirePeace=7.00
93. 1996-01-25T13:10 | meditate=true | fire=5 | peace=9 | stability=7 | growth=5.60 | avgFirePeace=7.00
94. 1996-02-18T13:10 | meditate=true | fire=7.5 | peace=6.5 | stability=8 | growth=8.25 | avgFirePeace=7.00
95. 1996-02-19T13:10 | meditate=true | fire=7.5 | peace=6.5 | stability=8 | growth=10.20 | avgFirePeace=7.00
96. 1996-03-01T13:10 | meditate=true | fire=6.5 | peace=7.5 | stability=8 | growth=7.65 | avgFirePeace=7.00
97. 1996-05-06T13:10 | meditate=true | fire=7 | peace=7 | stability=8 | growth=9.00 | avgFirePeace=7.00
98. 1996-07-17T13:10 | meditate=true | fire=6 | peace=8 | stability=8 | growth=6.30 | avgFirePeace=7.00
99. 1996-07-23T13:10 | meditate=true | fire=6 | peace=8 | stability=7 | growth=6.30 | avgFirePeace=7.00
100. 1998-02-27T13:10 | meditate=true | fire=7.5 | peace=6.5 | stability=7 | growth=10.20 | avgFirePeace=7.00
101. 1988-02-01T13:10 | meditate=true | fire=7.5 | peace=6 | stability=8 | growth=11.40 | avgFirePeace=6.75
102. 1988-02-12T13:10 | meditate=false | fire=5.5 | peace=8 | stability=8 | growth=6.00 | avgFirePeace=6.75
103. 1988-03-09T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.00 | avgFirePeace=6.75
104. 1988-04-01T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.20 | avgFirePeace=6.75
105. 1988-05-21T13:10 | meditate=true | fire=7 | peace=6.5 | stability=7 | growth=8.00 | avgFirePeace=6.75
106. 1989-01-12T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=7.20 | avgFirePeace=6.75
107. 1989-06-26T13:10 | meditate=true | fire=6.5 | peace=7 | stability=7 | growth=8.25 | avgFirePeace=6.75
108. 1990-06-03T13:10 | meditate=true | fire=5.5 | peace=8 | stability=7 | growth=5.95 | avgFirePeace=6.75
109. 1990-06-05T13:10 | meditate=true | fire=5 | peace=8.5 | stability=7 | growth=6.30 | avgFirePeace=6.75
110. 1990-07-06T13:10 | meditate=true | fire=6.5 | peace=7 | stability=8 | growth=6.80 | avgFirePeace=6.75
111. 1990-09-16T13:10 | meditate=false | fire=7 | peace=6.5 | stability=7 | growth=9.10 | avgFirePeace=6.75
112. 1991-01-30T13:10 | meditate=false | fire=7 | peace=6.5 | stability=8 | growth=8.10 | avgFirePeace=6.75
113. 1991-04-29T13:10 | meditate=false | fire=6 | peace=7.5 | stability=8 | growth=7.00 | avgFirePeace=6.75
114. 1993-01-07T13:10 | meditate=true | fire=6 | peace=7.5 | stability=8 | growth=7.20 | avgFirePeace=6.75
115. 1993-08-27T13:10 | meditate=false | fire=5.5 | peace=8 | stability=8 | growth=5.85 | avgFirePeace=6.75
116. 1993-09-11T13:10 | meditate=false | fire=5 | peace=8.5 | stability=8 | growth=6.00 | avgFirePeace=6.75
117. 1993-09-22T13:10 | meditate=true | fire=5.5 | peace=8 | stability=8 | growth=7.65 | avgFirePeace=6.75
118. 1993-09-24T13:10 | meditate=true | fire=5 | peace=8.5 | stability=7 | growth=6.30 | avgFirePeace=6.75
119. 1995-03-11T13:10 | meditate=true | fire=5 | peace=8.5 | stability=8 | growth=6.00 | avgFirePeace=6.75
120. 1995-06-16T13:10 | meditate=true | fire=5 | peace=8.5 | stability=8 | growth=6.30 | avgFirePeace=6.75
121. 1996-02-17T13:10 | meditate=true | fire=7.5 | peace=6 | stability=8 | growth=9.35 | avgFirePeace=6.75
122. 1996-02-22T13:10 | meditate=true | fire=7.5 | peace=6 | stability=8 | growth=11.05 | avgFirePeace=6.75
123. 1996-03-12T13:10 | meditate=true | fire=6.5 | peace=7 | stability=8 | growth=8.55 | avgFirePeace=6.75
124. 1996-03-19T13:10 | meditate=true | fire=8 | peace=5.5 | stability=8 | growth=11.00 | avgFirePeace=6.75
125. 1996-05-21T13:10 | meditate=true | fire=8 | peace=5.5 | stability=7 | growth=10.40 | avgFirePeace=6.75
126. 1996-07-16T13:10 | meditate=true | fire=6 | peace=7.5 | stability=8 | growth=7.20 | avgFirePeace=6.75
127. 1996-08-07T13:10 | meditate=true | fire=6 | peace=7.5 | stability=7 | growth=9.00 | avgFirePeace=6.75
128. 1996-08-09T13:10 | meditate=true | fire=6 | peace=7.5 | stability=8 | growth=8.80 | avgFirePeace=6.75
129. 1997-04-23T13:10 | meditate=false | fire=5.5 | peace=8 | stability=8 | growth=5.85 | avgFirePeace=6.75
130. 1998-02-22T13:10 | meditate=true | fire=7 | peace=6.5 | stability=8 | growth=9.90 | avgFirePeace=6.75
131. 1999-05-31T13:10 | meditate=false | fire=8 | peace=5.5 | stability=8 | growth=10.80 | avgFirePeace=6.75
132. 1988-04-25T13:10 | meditate=false | fire=6 | peace=7 | stability=8 | growth=6.00 | avgFirePeace=6.50
133. 1988-04-30T13:10 | meditate=false | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
134. 1989-01-10T13:10 | meditate=true | fire=5 | peace=8 | stability=8 | growth=5.40 | avgFirePeace=6.50
135. 1989-07-02T13:10 | meditate=true | fire=7 | peace=6 | stability=7 | growth=8.40 | avgFirePeace=6.50
136. 1989-07-13T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=7 | growth=10.00 | avgFirePeace=6.50
137. 1989-10-07T13:10 | meditate=false | fire=7 | peace=6 | stability=8 | growth=10.40 | avgFirePeace=6.50
138. 1989-10-18T13:10 | meditate=false | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
139. 1990-03-15T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.45 | avgFirePeace=6.50
140. 1990-03-18T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=7 | growth=10.20 | avgFirePeace=6.50
141. 1990-06-02T13:10 | meditate=true | fire=5 | peace=8 | stability=7 | growth=5.60 | avgFirePeace=6.50
142. 1990-06-17T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.20 | avgFirePeace=6.50
143. 1990-09-14T13:10 | meditate=true | fire=6.5 | peace=6.5 | stability=8 | growth=9.35 | avgFirePeace=6.50
144. 1991-02-19T13:10 | meditate=true | fire=5.5 | peace=7.5 | stability=7 | growth=6.75 | avgFirePeace=6.50
145. 1991-03-08T13:10 | meditate=true | fire=5.5 | peace=7.5 | stability=6 | growth=6.50 | avgFirePeace=6.50
146. 1991-04-22T13:10 | meditate=true | fire=5 | peace=8 | stability=7 | growth=5.60 | avgFirePeace=6.50
147. 1992-05-03T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=8 | growth=10.45 | avgFirePeace=6.50
148. 1992-11-06T13:10 | meditate=true | fire=6.5 | peace=6.5 | stability=8 | growth=9.35 | avgFirePeace=6.50
149. 1992-11-21T13:10 | meditate=true | fire=6.5 | peace=6.5 | stability=7 | growth=9.35 | avgFirePeace=6.50
150. 1993-12-23T13:10 | meditate=true | fire=6 | peace=7 | stability=8 | growth=8.00 | avgFirePeace=6.50
151. 1995-05-20T13:10 | meditate=false | fire=5.5 | peace=7.5 | stability=8 | growth=6.50 | avgFirePeace=6.50
152. 1995-05-21T13:10 | meditate=false | fire=5 | peace=8 | stability=8 | growth=5.40 | avgFirePeace=6.50
153. 1995-05-29T13:10 | meditate=true | fire=5 | peace=8 | stability=7 | growth=5.60 | avgFirePeace=6.50
154. 1995-12-02T13:10 | meditate=true | fire=6 | peace=7 | stability=8 | growth=7.00 | avgFirePeace=6.50
155. 1996-02-25T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=7 | growth=12.00 | avgFirePeace=6.50
156. 1996-03-30T13:10 | meditate=true | fire=7 | peace=6 | stability=7 | growth=10.40 | avgFirePeace=6.50
157. 1996-05-05T13:10 | meditate=true | fire=6 | peace=7 | stability=7 | growth=8.00 | avgFirePeace=6.50
158. 1996-07-18T13:10 | meditate=true | fire=5.5 | peace=7.5 | stability=8 | growth=6.80 | avgFirePeace=6.50
159. 1996-10-02T13:10 | meditate=true | fire=6 | peace=7 | stability=7 | growth=6.00 | avgFirePeace=6.50
160. 1998-10-09T13:10 | meditate=true | fire=7.5 | peace=5.5 | stability=7 | growth=10.45 | avgFirePeace=6.50
161. 1988-01-03T13:10 | meditate=true | fire=5.5 | peace=7 | stability=8 | growth=7.50 | avgFirePeace=6.25
162. 1988-03-07T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=8.50 | avgFirePeace=6.25
163. 1988-03-29T13:10 | meditate=true | fire=5.5 | peace=7 | stability=7 | growth=7.50 | avgFirePeace=6.25
164. 1988-07-16T13:10 | meditate=false | fire=8 | peace=4.5 | stability=8 | growth=11.00 | avgFirePeace=6.25
165. 1988-10-28T13:10 | meditate=true | fire=5 | peace=7.5 | stability=7 | growth=6.00 | avgFirePeace=6.25
166. 1989-02-06T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=7.60 | avgFirePeace=6.25
167. 1989-06-20T13:10 | meditate=true | fire=6.5 | peace=6 | stability=7 | growth=8.55 | avgFirePeace=6.25
168. 1989-06-24T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=8.50 | avgFirePeace=6.25
169. 1990-04-07T13:10 | meditate=true | fire=6.5 | peace=6 | stability=7 | growth=8.50 | avgFirePeace=6.25
170. 1990-04-08T13:10 | meditate=true | fire=6.5 | peace=6 | stability=7 | growth=8.50 | avgFirePeace=6.25
171. 1990-06-01T13:10 | meditate=true | fire=5.5 | peace=7 | stability=7 | growth=7.65 | avgFirePeace=6.25
172. 1990-06-16T13:10 | meditate=true | fire=7.5 | peace=5 | stability=8 | growth=11.05 | avgFirePeace=6.25
173. 1990-06-18T13:10 | meditate=true | fire=7.5 | peace=5 | stability=8 | growth=11.40 | avgFirePeace=6.25
174. 1990-09-19T13:10 | meditate=true | fire=7.5 | peace=5 | stability=7 | growth=10.50 | avgFirePeace=6.25
175. 1990-10-11T13:10 | meditate=true | fire=5 | peace=7.5 | stability=6 | growth=6.00 | avgFirePeace=6.25
176. 1991-02-27T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=7.50 | avgFirePeace=6.25
177. 1991-03-04T13:10 | meditate=true | fire=5 | peace=7.5 | stability=8 | growth=6.00 | avgFirePeace=6.25
178. 1991-03-05T13:10 | meditate=true | fire=5 | peace=7.5 | stability=7 | growth=6.00 | avgFirePeace=6.25
179. 1991-04-30T13:10 | meditate=false | fire=5 | peace=7.5 | stability=8 | growth=6.00 | avgFirePeace=6.25
180. 1992-03-03T13:10 | meditate=true | fire=5 | peace=7.5 | stability=7 | growth=6.30 | avgFirePeace=6.25
181. 1992-04-16T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=9.00 | avgFirePeace=6.25
182. 1992-04-21T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=8.80 | avgFirePeace=6.25
183. 1992-11-18T13:10 | meditate=true | fire=6 | peace=6.5 | stability=7 | growth=8.40 | avgFirePeace=6.25
184. 1992-11-19T13:10 | meditate=true | fire=6 | peace=6.5 | stability=7 | growth=8.80 | avgFirePeace=6.25
185. 1993-01-15T13:10 | meditate=true | fire=5 | peace=7.5 | stability=8 | growth=7.70 | avgFirePeace=6.25
186. 1993-12-20T13:10 | meditate=true | fire=5 | peace=7.5 | stability=7 | growth=6.30 | avgFirePeace=6.25
187. 1993-12-22T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=7.20 | avgFirePeace=6.25
188. 1995-05-12T13:10 | meditate=false | fire=5 | peace=7.5 | stability=8 | growth=6.40 | avgFirePeace=6.25
189. 1995-12-14T13:10 | meditate=true | fire=7 | peace=5.5 | stability=8 | growth=12.00 | avgFirePeace=6.25
190. 1995-12-22T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=8.00 | avgFirePeace=6.25
191. 1995-12-23T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=9.00 | avgFirePeace=6.25
192. 1996-01-04T13:10 | meditate=true | fire=6 | peace=6.5 | stability=7 | growth=9.00 | avgFirePeace=6.25
193. 1996-02-20T13:10 | meditate=true | fire=6.5 | peace=6 | stability=8 | growth=8.25 | avgFirePeace=6.25
194. 1996-03-05T13:10 | meditate=true | fire=6 | peace=6.5 | stability=8 | growth=7.20 | avgFirePeace=6.25
195. 1996-06-23T13:10 | meditate=true | fire=7 | peace=5.5 | stability=7 | growth=9.60 | avgFirePeace=6.25
196. 1996-09-06T13:10 | meditate=true | fire=6 | peace=6.5 | stability=7 | growth=7.80 | avgFirePeace=6.25
197. 1996-09-22T13:10 | meditate=true | fire=7 | peace=5.5 | stability=7 | growth=9.60 | avgFirePeace=6.25
198. 1996-10-17T13:10 | meditate=false | fire=5.5 | peace=7 | stability=8 | growth=7.15 | avgFirePeace=6.25
199. 1998-02-23T13:10 | meditate=true | fire=7.5 | peace=5 | stability=8 | growth=11.05 | avgFirePeace=6.25
200. 1998-10-10T13:10 | meditate=true | fire=7 | peace=5.5 | stability=7 | growth=9.90 | avgFirePeace=6.25
201. 1988-03-06T13:10 | meditate=true | fire=7 | peace=5 | stability=7 | growth=10.80 | avgFirePeace=6.00
202. 1988-03-26T13:10 | meditate=true | fire=6 | peace=6 | stability=8 | growth=8.10 | avgFirePeace=6.00
203. 1988-04-09T13:10 | meditate=true | fire=6 | peace=6 | stability=8 | growth=8.10 | avgFirePeace=6.00
204. 1988-04-24T13:10 | meditate=false | fire=6 | peace=6 | stability=8 | growth=7.20 | avgFirePeace=6.00
205. 1988-10-01T13:10 | meditate=true | fire=7 | peace=5 | stability=8 | growth=8.80 | avgFirePeace=6.00
206. 1989-06-19T13:10 | meditate=true | fire=6.5 | peace=5.5 | stability=8 | growth=9.35 | avgFirePeace=6.00
207. 1989-09-24T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=6.75 | avgFirePeace=6.00
208. 1989-10-15T13:10 | meditate=false | fire=7.5 | peace=4.5 | stability=8 | growth=12.35 | avgFirePeace=6.00
209. 1990-04-18T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=8 | growth=6.65 | avgFirePeace=6.00
210. 1990-04-26T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=6.65 | avgFirePeace=6.00
211. 1990-04-27T13:10 | meditate=true | fire=6 | peace=6 | stability=7 | growth=8.00 | avgFirePeace=6.00
212. 1990-06-11T13:10 | meditate=true | fire=5 | peace=7 | stability=7 | growth=7.20 | avgFirePeace=6.00
213. 1990-10-13T13:10 | meditate=false | fire=6 | peace=6 | stability=8 | growth=7.70 | avgFirePeace=6.00
214. 1990-11-14T13:10 | meditate=false | fire=5.5 | peace=6.5 | stability=8 | growth=8.50 | avgFirePeace=6.00
215. 1991-02-18T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=6.05 | avgFirePeace=6.00
216. 1991-03-21T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=8.25 | avgFirePeace=6.00
217. 1992-04-03T13:10 | meditate=true | fire=6.5 | peace=5.5 | stability=8 | growth=9.00 | avgFirePeace=6.00
218. 1992-04-22T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=7 | growth=8.25 | avgFirePeace=6.00
219. 1992-12-12T13:10 | meditate=true | fire=7 | peace=5 | stability=8 | growth=9.80 | avgFirePeace=6.00
220. 1993-12-26T13:10 | meditate=true | fire=6 | peace=6 | stability=7 | growth=7.70 | avgFirePeace=6.00
221. 1994-01-01T13:10 | meditate=true | fire=5 | peace=7 | stability=6 | growth=5.40 | avgFirePeace=6.00
222. 1994-03-22T13:10 | meditate=true | fire=5 | peace=7 | stability=8 | growth=7.20 | avgFirePeace=6.00
223. 1995-03-15T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=8 | growth=8.55 | avgFirePeace=6.00
224. 1995-12-21T13:10 | meditate=true | fire=5.5 | peace=6.5 | stability=8 | growth=8.00 | avgFirePeace=6.00
225. 1996-03-06T13:10 | meditate=true | fire=6 | peace=6 | stability=8 | growth=8.00 | avgFirePeace=6.00
226. 1996-04-17T13:10 | meditate=true | fire=6.5 | peace=5.5 | stability=7 | growth=9.35 | avgFirePeace=6.00
227. 1996-04-26T13:10 | meditate=true | fire=5 | peace=7 | stability=7 | growth=7.00 | avgFirePeace=6.00
