🧘‍♂️ Top 2557 all days (stability 2-9, sorted by fire desc):

52. 1993-03-12T13:10 | meditate=false | fire=6.5 | peace=6.5 | stability=9 | growth=8.45 | avgFirePeace=6.50
53. 1993-04-21T13:10 | meditate=true | fire=6.5 | peace=1 | stability=8 | growth=12.75 | avgFirePeace=3.75
54. 1993-06-08T13:10 | meditate=false | fire=6.5 | peace=4 | stability=9 | growth=9.75 | avgFirePeace=5.25
55. 1993-09-12T13:10 | meditate=false | fire=6.5 | peace=3.5 | stability=9 | growth=10.50 | avgFirePeace=5.00
56. 1988-02-09T13:10 | meditate=false | fire=6 | peace=3.5 | stability=9 | growth=8.80 | avgFirePeace=4.75
57. 1988-03-31T13:10 | meditate=false | fire=6 | peace=2 | stability=8 | growth=10.50 | avgFirePeace=4.00
58. 1988-04-24T13:10 | meditate=false | fire=6 | peace=6 | stability=8 | growth=7.70 | avgFirePeace=6.00
59. 1988-04-25T13:10 | meditate=false | fire=6 | peace=7 | stability=8 | growth=6.40 | avgFirePeace=6.50
60. 1988-05-08T13:10 | meditate=false | fire=6 | peace=4 | stability=9 | growth=7.70 | avgFirePeace=5.00
61. 1988-05-15T13:10 | meditate=false | fire=6 | peace=8 | stability=7 | growth=6.30 | avgFirePeace=7.00
62. 1988-05-19T13:10 | meditate=false | fire=6 | peace=9 | stability=8 | growth=4.90 | avgFirePeace=7.50
63. 1989-11-06T13:10 | meditate=false | fire=6 | peace=8.5 | stability=9 | growth=5.40 | avgFirePeace=7.25
64. 1989-11-09T13:10 | meditate=false | fire=6 | peace=10.5 | stability=9 | growth=3.00 | avgFirePeace=8.25
65. 1989-11-13T13:10 | meditate=false | fire=6 | peace=9 | stability=9 | growth=3.50 | avgFirePeace=7.50
66. 1989-11-16T13:10 | meditate=false | fire=6 | peace=9 | stability=8 | growth=4.90 | avgFirePeace=7.50
67. 1990-01-03T13:10 | meditate=false | fire=6 | peace=2 | stability=8 | growth=9.60 | avgFirePeace=4.00
68. 1990-03-10T13:10 | meditate=false | fire=6 | peace=5 | stability=9 | growth=7.20 | avgFirePeace=5.50
69. 1990-06-14T13:10 | meditate=true | fire=6 | peace=4.5 | stability=6 | growth=8.40 | avgFirePeace=5.25
70. 1990-09-11T13:10 | meditate=false | fire=6 | peace=6.5 | stability=9 | growth=7.00 | avgFirePeace=6.25
71. 1990-09-12T13:10 | meditate=false | fire=6 | peace=4.5 | stability=9 | growth=8.40 | avgFirePeace=5.25
72. 1990-09-17T13:10 | meditate=true | fire=6 | peace=3.5 | stability=6 | growth=9.80 | avgFirePeace=4.75
73. 1990-09-18T13:10 | meditate=false | fire=6 | peace=3.5 | stability=8 | growth=9.80 | avgFirePeace=4.75
74. 1990-10-01T13:10 | meditate=true | fire=6 | peace=3 | stability=7 | growth=9.60 | avgFirePeace=4.50
75. 1990-12-24T13:10 | meditate=false | fire=6 | peace=-0.5 | stability=8 | growth=10.20 | avgFirePeace=2.75
76. 1991-09-11T13:10 | meditate=false | fire=6 | peace=6 | stability=9 | growth=7.70 | avgFirePeace=6.00
77. 1991-10-02T13:10 | meditate=false | fire=6 | peace=3.5 | stability=8 | growth=8.40 | avgFirePeace=4.75
